Data,qtd_focos,media_dias_sem_chuva,media_precipitacao,media_risco_fogo,media_frp,Mes,DiaSemana,Estacao_Seca,lag_1,lag_2
2015-10-31,118,1.2542372881355932,0.3584745762711864,0.26216216216216215,22.52,10,5,1,39.0,6.0
2015-11-01,63,1.9365079365079365,10.338095238095237,0.27142857142857146,45.2,11,6,0,118.0,39.0
2015-11-09,42,1.7619047619047619,3.0357142857142856,0.2857142857142857,25.785714285714285,11,0,0,7.0,2.0
2015-11-11,4,3.0,4.725,0.15000000000000002,11.5,11,2,0,22.0,42.0
2015-11-13,60,0.23333333333333334,0.365,0.23389830508474577,42.114999999999995,11,4,0,4.0,22.0
2015-11-14,90,1.7555555555555555,0.005555555555555556,0.401123595505618,16.99473684210526,11,5,0,60.0,4.0
2015-11-15,67,2.955223880597015,0.9313432835820895,0.4151515151515151,39.225,11,6,0,90.0,60.0
2015-11-16,100,3.4,0.478,0.4989795918367347,40.34166666666667,11,0,0,67.0,90.0
2015-11-17,50,4.24,0.094,0.444,27.65,11,1,0,100.0,67.0
2015-11-18,107,4.0,0.026168224299065422,0.5644859813084112,27.383333333333336,11,2,0,50.0,100.0
2015-11-19,144,4.284722222222222,0.0,0.5826388888888889,17.400000000000002,11,3,0,107.0,50.0
2015-11-20,169,5.2485207100591715,0.406508875739645,0.5279761904761905,31.13181818181818,11,4,0,144.0,107.0
2015-11-21,13,4.3076923076923075,1.6230769230769229,0.6230769230769231,24.6,11,5,0,169.0,144.0
2015-11-23,58,1.8275862068965518,8.818965517241379,0.32894736842105265,10.342857142857143,11,0,0,6.0,13.0
2015-11-24,32,0.1875,0.1875,0.43846153846153846,16.9,11,1,0,58.0,6.0
2015-11-25,61,1.9836065573770492,0.08360655737704917,0.580327868852459,16.945,11,2,0,32.0,58.0
2015-11-26,84,2.607142857142857,2.126190476190476,0.5095238095238095,37.68,11,3,0,61.0,32.0
2015-11-27,5,1.8,1.6800000000000002,0.42000000000000004,17.533333333333335,11,4,0,84.0,61.0
2015-12-02,25,0.56,1.5879999999999999,0.1523809523809524,11.3,12,2,0,3.0,8.0
2015-12-04,6,1.3333333333333333,0.48333333333333334,0.575,13.033333333333331,12,4,0,12.0,25.0
2015-12-06,4,0.75,7.425,0.25,18.133333333333333,12,6,0,7.0,6.0
2015-12-10,1,1.0,0.4,0.2,15.9,12,3,0,2.0,1.0
2015-12-11,22,0.7272727272727273,0.01363636363636364,0.4727272727272727,15.75,12,4,0,1.0,2.0
2015-12-13,15,1.3333333333333333,1.0866666666666667,0.3333333333333333,40.44,12,6,0,10.0,22.0
